x,y,l_width,r_width
80.82963,703.60704,5,5
80.58777,704.57735,5,5
80.3459,705.54766,5,5
80.10403,706.51797,5,5
79.86217,707.48828,5,5
79.6203,708.45859,5,5
79.37843,709.4289,5,5
79.13657,710.39921,5,5
78.8947,711.36952,5,5
78.65284,712.33983,5,5
78.41097,713.31014,5,5
78.1691,714.28044,5,5
77.92724,715.25075,5,5
77.68537,716.22106,5,5
77.44351,717.19137,5,5
77.20164,718.16168,5,5
76.95977,719.13199,5,5
76.71791,720.1023,5,5
76.47604,721.07261,5,5
76.23418,722.04292,5,5
75.99231,723.01323,5,5
75.75044,723.98354,5,5
75.50858,724.95385,5,5
75.26671,725.92416,5,5
75.02485,726.89447,5,5
74.78298,727.86478,5,5
74.54111,728.83509,5,5
74.29925,729.8054,5,5
74.05738,730.77571,5,5
73.81552,731.74602,5,5
73.57365,732.71633,5,5
73.33178,733.68664,5,5
73.08992,734.65695,5,5
72.84805,735.62726,5,5
72.60619,736.59757,5,5
72.36432,737.56788,5,5
72.12245,738.53819,5,5
71.88059,739.5085,5,5
71.63872,740.47881,5,5
71.39686,741.44912,5,5
71.15499,742.41942,5,5
70.91312,743.38973,5,5
70.67126,744.36004,5,5
70.47081,745.33903,5,5
70.30274,746.32481,5,5
70.13467,747.31058,5,5
69.9666,748.29636,5,5
69.80352,749.28294,5,5
69.65174,750.27136,5,5
69.49995,751.25977,5,5
69.34817,752.24818,5,5
69.19723,753.23672,5,5
69.06177,754.2275,5,5
68.92632,755.21829,5,5
68.79086,756.20907,5,5
68.65541,757.19985,5,5
68.53299,758.19231,5,5
68.41389,759.18519,5,5
68.2948,760.17808,5,5
68.17571,761.17096,5,5
68.06551,762.16483,5,5
67.96281,763.15955,5,5
67.86012,764.15426,5,5
67.75743,765.14897,5,5
67.65945,766.14413,5,5
67.57318,767.14041,5,5
67.48692,768.13668,5,5
67.40065,769.13295,5,5
67.31491,770.12926,5,5
67.2451,771.12682,5,5
67.17528,772.12438,5,5
67.10546,773.12194,5,5
67.03565,774.1195,5,5
66.97864,775.11785,5,5
66.92529,776.11643,5,5
66.87194,777.11501,5,5
66.81859,778.11358,5,5
66.77387,779.11255,5,5
66.737,780.11187,5,5
66.70014,781.11119,5,5
66.66327,782.11051,5,5
66.63084,783.10995,5,5
66.61047,784.10975,5,5
66.59009,785.10954,5,5
66.56972,786.10933,5,5
66.54958,787.10913,5,5
66.54571,788.10912,5,5
66.54184,789.10911,5,5
66.53797,790.1091,5,5
66.5341,791.1091,5,5
66.54275,792.10903,5,5
66.55538,793.10896,5,5
66.56801,794.10888,5,5
66.58064,795.1088,5,5
66.6016,796.10854,5,5
66.63073,797.10812,5,5
66.65985,798.10769,5,5
66.68898,799.10727,5,5
66.72834,800.10634,5,5
66.79839,801.10388,5,5
66.86844,802.10142,5,5
66.9385,803.09897,5,5
67.00855,804.09651,5,5
67.0786,805.09405,5,5
67.14866,806.0916,5,5
67.21871,807.08914,5,5
67.28876,808.08668,5,5
67.35882,809.08423,5,5
67.42887,810.08177,5,5
67.49892,811.07931,5,5
67.56898,812.07686,5,5
67.63903,813.0744,5,5
67.70908,814.07194,5,5
67.77914,815.06949,5,5
67.84919,816.06703,5,5
67.91924,817.06457,5,5
67.9893,818.06212,5,5
68.05935,819.05966,5,5
68.1294,820.0572,5,5
68.19946,821.05475,5,5
68.26951,822.05229,5,5
68.33956,823.04983,5,5
68.40962,824.04737,5,5
68.47967,825.04492,5,5
68.54972,826.04246,5,5
68.61978,827.04,5,5
68.68983,828.03755,5,5
68.75988,829.03509,5,5
68.82994,830.03263,5,5
68.89999,831.03018,5,5
68.97004,832.02772,5,5
69.0401,833.02526,5,5
69.11015,834.02281,5,5
69.1802,835.02035,5,5
69.25026,836.01789,5,5
69.32031,837.01544,5,5
69.39036,838.01298,5,5
69.46042,839.01052,5,5
69.53047,840.00807,5,5
69.60052,841.00561,5,5
69.67058,842.00315,5,5
69.74063,843.0007,5,5
69.81068,843.99824,5,5
69.88074,844.99578,5,5
69.95079,845.99333,5,5
70.02084,846.99087,5,5
70.0909,847.98841,5,5
70.16095,848.98596,5,5
70.231,849.9835,5,5
70.30106,850.98104,5,5
70.37111,851.97859,5,5
70.44116,852.97613,5,5
70.51121,853.97367,5,5
70.58127,854.97122,5,5
70.65132,855.96876,5,5
70.72137,856.9663,5,5
70.79143,857.96385,5,5
70.86148,858.96139,5,5
70.93153,859.95893,5,5
71.00159,860.95648,5,5
71.07164,861.95402,5,5
71.14169,862.95156,5,5
71.21175,863.9491,5,5
71.2818,864.94665,5,5
71.35185,865.94419,5,5
71.42191,866.94173,5,5
71.49196,867.93928,5,5
71.56201,868.93682,5,5
71.63207,869.93436,5,5
71.70212,870.93191,5,5
71.77217,871.92945,5,5
71.84223,872.92699,5,5
71.91228,873.92454,5,5
71.98233,874.92208,5,5
72.05239,875.91962,5,5
72.12244,876.91717,5,5
72.19249,877.91471,5,5
72.26255,878.91225,5,5
72.3326,879.9098,5,5
72.40265,880.90734,5,5
72.47271,881.90488,5,5
72.54276,882.90243,5,5
72.61281,883.89997,5,5
72.68287,884.89751,5,5
72.75292,885.89506,5,5
72.82297,886.8926,5,5
72.89303,887.89014,5,5
72.96308,888.88769,5,5
73.03313,889.88523,5,5
73.10319,890.88277,5,5
73.17324,891.88032,5,5
73.24329,892.87786,5,5
73.31335,893.8754,5,5
73.3834,894.87295,5,5
73.45345,895.87049,5,5
73.52351,896.86803,5,5
73.59356,897.86558,5,5
73.66361,898.86312,5,5
73.73367,899.86066,5,5
73.80372,900.85821,5,5
73.87377,901.85575,5,5
73.94383,902.85329,5,5
74.01388,903.85083,5,5
74.08393,904.84838,5,5
74.15399,905.84592,5,5
74.22404,906.84346,5,5
74.29409,907.84101,5,5
74.36415,908.83855,5,5
74.4342,909.83609,5,5
74.50425,910.83364,5,5
74.57431,911.83118,5,5
74.64436,912.82872,5,5
74.71441,913.82627,5,5
74.78447,914.82381,5,5
74.85452,915.82135,5,5
74.92457,916.8189,5,5
74.99463,917.81644,5,5
75.06468,918.81398,5,5
75.13473,919.81153,5,5
75.20478,920.80907,5,5
75.27484,921.80661,5,5
75.34489,922.80416,5,5
75.41494,923.8017,5,5
75.485,924.79924,5,5
75.55505,925.79679,5,5
75.6251,926.79433,5,5
75.69516,927.79187,5,5
75.76521,928.78942,5,5
75.83526,929.78696,5,5
75.90532,930.7845,5,5
75.97537,931.78205,5,5
76.04542,932.77959,5,5
76.11548,933.77713,5,5
76.22419,934.77072,5,5
76.35759,935.76178,5,5
76.49099,936.75284,5,5
76.62439,937.74391,5,5
76.7578,938.73497,5,5
76.8912,939.72603,5,5
77.03822,940.71514,5,5
77.18814,941.70384,5,5
77.33806,942.69254,5,5
77.48797,943.68124,5,5
77.63789,944.66994,5,5
77.78846,945.65853,5,5
77.95485,946.64459,5,5
78.12123,947.63065,5,5
78.28762,948.61671,5,5
78.45401,949.60277,5,5
78.6204,950.58883,5,5
78.79096,951.57415,5,5
78.97377,952.5573,5,5
79.15658,953.54045,5,5
